word,freq
toalatitudinal,1
tonorth,1
tothe,1
typically,1
yaks,1
general,1
cby,1
canids,1
dasyurid,1
buzzard,1
cleopards,1
dependence,1
resurgent,1
carnivorous,1
able,1
acariformes,1
animals,1
august–october,1
australia,1
captured,1
captures,1
chilopoda,1
coleoptera,1
collembola,1
comparison,1
dasyurids,1
direct,1
evident,1
faecal,1
february–april,1
five,1
freely,1
grubs,1
hemiptera,1
individuals,1
information,1
infrequently,1
inhabiting,1
insectivorous,1
isoptera,1
know,1
lacked,1
largely,1
leaf,1
litter,1
made,1
mallee,1
manner,1
may–july,1
ningauis,1
nocturnally,1
observation,1
pitfall,1
possibly,1
seasonality,1
specificity,1
stoneflies,1
triodia,1
‘breeding’,1
‘growth’,1
‘maturation’,1
cin,1
implications,1
plecoptera,1
absence,1
ambush,1
arranged,1
chiefly,1
combinations,1
continuously,1
contrasting,1
described,1
equivalent,1
examines,1
exceeded,1
experiment,1
former,1
interference,1
mature,1
night,1
nine,1
nonselective,1
nonswitching,1
obtained,1
proportion,1
proportions,1
related,1
replaced,1
rhodani,1
slight,1
sshaped,1
strongest,1
successful,1
tendency,1
tested,1
total,1
values,1
cwoodland,1
coyote,1
csavanna,1
fox,1
age,1
along,1
appeared,1
coexistence,1
contribute,1
cycles,1
deer,1
differential,1
displacement,1
environments,1
fluctuating,1
hence,1
heterogeneous,1
incorporated,1
interface,1
mechanisms,1
mediate,1
mice,1
northeastern,1
pheasants,1
primary,1
routes,1
sciurids,1
standardized,1
tended,1
urban–rural,1
vertebrate,1
attacking,1
ccatchability,1
changing,1
confirms,1
days,1
generalizations,1
groups,1
ieticulatus,1
meal,1
measured,1
middle,1
poecilia,1
resulted,1
reward,1
several,1
stabilize,1
tubificid,1
water,1
whichever,1
worms,1
written,1
cversus,1
according,1
agrestis,1
approach,1
basic,1
better,1
breeding,1
buteo,1
buzzards,1
combined,1
disproportional,1
element,1
explains,1
freeranging,1
functionally,1
future,1
iii,1
indicating,1
interactions,1
intraannual,1
key,1
lagopus,1
leggedbuzzard,1
microtus,1
myodes,1
novel,1
order,1
pairs,1
pontoppidan,1
populationaveraged,1
responded,1
rough,1
rufocanus,1
separately,1
shallow,1
shapes,1
sizedependent,1
spatial,1
steep,1
sundevall,1
sweden,1
theoretical,1
treated,1
utilisation,1
utilised,1
variation,1
cforaging,1
arid,1
cdecisions,1
crossfollicle,1
detailed,1
differing,1
eggs,1
expressed,1
fecal,1
hairs,1
hyaenas,1
investigations,1
ivlevs,1
km−,1
month,1
nonsampled,1
opportunistic,1
overview,1
performed,1
presumed,1
ranging,1
relationships,1
representation,1
representing,1
resourcelimited,1
scored,1
springbok,1
summarized,1
updated,1
variations,1
±se,1
actively,1
chose,1
daphnia,1
depending,1
gambusias,1
independent,1
magna,1
monotonically,1
peaked,1
pulex,1
variables,1
africanus,1
became,1
canadensis,1
cape,1
collection,1
continued,1
decrease,1
eastern,1
exacerbated,1
facilitate,1
frequent,1
full,1
gapelimited,1
immigration,1
increase,1
lion,1
mass,1
mitigate,1
multipredator,1
persistence,1
phacochoerus,1
place,1
possible,1
province,1
required,1
reserves,1
strength,1
strepsiceros,1
tragelaphus,1
warthogs,1
—,1
demographic,1
largest,1
abalones,1
absent,1
accompanied,1
advantage,1
agreement,1
altered,1
appear,1
appearance,1
appears,1
arrival,1
aspects,1
associated,1
barnacles,1
become,1
calculated,1
californica,1
clams,1
closely,1
concluded,1
conclusions,1
constant,1
corresponded,1
cruz,1
cstrategy,1
decreasing,1
depleted,1
disappearance,1
disappeared,1
distribution,1
diversity,1
drive,1
easily,1
enhydra,1
except,1
exhibiting,1
extending,1
extinction,1
fairly,1
first,1
fit,1
form,1
formation,1
franciscanus,1
function,1
gari,1
giving,1
good,1
haliotis,1
heavily,1
hundred,1
hunt,1
image,1
initially,1
intakeunit,1
kelp,1
laboratory,1
lutris,1
modelled,1
monitor,1
mussels,1
nature,1
nereis,1
next,1
occur,1
patch,1
patchy,1
prefer,1
preyed,1
producta,1
proportionality,1
provide,1
pugettia,1
quantify,1
ranking,1
recovering,1
regimens,1
regulation,1
replace,1
replicates,1
respect,1
revealed,1
rufescens,1
santa,1
scheme,1
seashore,1
situations,1
sizelimited,1
southern,1
spp,1
stable,1
stronglylocentrotus,1
subjecting,1
sudden,1
throughout,1
took,1
training,1
unclear,1
various,1
virtually,1
weakpreference,1
absolute,1
alter,1
cleopard,1
concentrated,1
correlated,1
criteria,1
drop,1
either,1
expect,1
ignored,1
ingested,1
ingestion,1
intermediatesized,1
last,1
moreover,1
prediction,1
profitability,1
sharply,1
starved,1
biology,1
added,1
april,1
article,1
assumption,1
attacked,1
averse,1
carrion,1
chasing,1
contrary,1
correction,1
correspondingly,1
defences,1
demonstrates,1
diminish,1
dropping,1
elaphus,1
even,1
evenness,1
formidable,1
freeliving,1
herds,1
importance,1
involving,1
killed,1
lay,1
mammal,1
mechanism,1
narrow,1
nearly,1
northern,1
online,1
operation,1
overarching,1
overestimate,1
packs,1
perhaps,1
publication,1
resist,1
responds,1
rising,1
scavenged,1
seldom,1
set,1
spares,1
summary,1
twice,1
usa,1
web,1
‘,1
‘nearly’,1
’,1
alien,1
applied,1
artemia,1
assessing,1
biodiverse,1
biodiversity,1
capita,1
concepts,1
consumer,1
corroborate,1
cpredatorprey,1
declining,1
destabilising,1
displayed,1
documenting,1
driver,1
extirpations,1
frs,1
gammarus,1
global,1
handling,1
indicate,1
infield,1
juveniles,1
lowest,1
marked,1
maximum,1
means,1
multiple,1
native,1
notorious,1
offering,1
palaemonetes,1
predict,1
predicting,1
propensities,1
ratios,1
reduce,1
refuge,1
remains,1
representative,1
scale,1
simultaneously,1
spread,1
stabilising,1
times,1
vital,1
widespread,1
cinteraction,1
cresource,1
amount,1
apparent,1
carcass,1
catch,1
choice,1
cwe,1
denser,1
detectability,1
discuss,1
easier,1
expectations,1
favoured,1
finescale,1
game,1
governing,1
hoisted,1
kill,1
kleptoparasitism,1
least,1
levels,1
likelihood,1
lost,1
months,1
need,1
occurring,1
planning,1
portrayed,1
previously,1
principal,1
private,1
probability,1
radiotelemetry,1
reduced,1
requirements,1
resilience,1
specialization,1
suggesting,1
threats,1
uncommon,1
undocumented,1
whether,1
widely,1
‘catchability’,1
‘supergeneralists’,1
