Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Cons_Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
PanTheria has no distiction between wild or domestic goats.,Bocci 2017,Hushey valley,4000,Goat,,Capra hircus,500,,0.2778,0.125,,,46.9,,,57,35,61.5,36.8,23.3,,,,Livestock,,,"tend to graze/browse at higher altitudes or on ridges where snow has been swept away by blowing winds, especially when snow cover is poor. Don't necessarily stay close to villages. In spring, when snow melting makes broken terrain more available, goats attend it more than in winter. ""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,1,2011-2012 Year-round,SWS,P-1-1,U,U,1,T,1,BOI17HSV,HSV,5,3,1,2,POP
and cattle/yak hybrids,Bocci 2017,Hushey valley,4000,Domestic yak,,Bos grunniens,30,,0.0167,0.0075,,,500,,,57,2,2.9,1.4,0.9,,,,Livestock,,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,1,2011-2012 Year-round,SWS,P-1-1,U,U,1,T,1,BOI17HSV,HSV,5,3,1,2,POP
,Bocci 2017,Hushey valley,4000,Cattle,,Bos taurus,200,,0.1111,0.05,,,613,,,57,5,9.5,4.2,3.2,,,,Livestock,,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,1,2011-2012 Year-round,SWS,P-1-1,U,U,1,T,1,BOI17HSV,HSV,5,3,1,2,POP
,Bocci 2017,Hushey valley,4000,Siberian ibex,Capra ibex sibirica,Capra sibirica,370,,0.2056,0.0925,,,130,,,57,12,20.2,16.9,17.2,,,,Wild,,,"inhabit steep terrain (wolves rarely like to go in there), cliff-dwelling. Group-living, average herd size = 13, range 1-40 in winter and 1-49 in spring, December is rut season (from Kahn et al. 2014, density source).",,1,2011-2012 Year-round,SWS,P-2-1,CNT,MWI,2,T,1,BOI17HSV,HSV,5,3,1,2,POP
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Pratomagno,110,Wild boar,Sus scrofa,Sus scrofa,561,,,5.1,,,84.5,,,355,310,87.3,,80.8,,,,Wild,,,Possible positive selection for juveniles,,,Feb 1999-Mar 2000,SYR,UA,DC + CNT,SSP,1,T,1,CAI04PRA,PRA,4,UK,UK,UK,POP
"Cervids = Roe deer (Capreolus capreolus), and fallow deer (Dama dama). Fallow deer limited to about 1/3 of the study area. Pantheria mass is an unweighted average because ",Capitani 2004,Pratomagno,110,Cervids,See notes,Capreolus capreolus + Dama dama,2497,,,23.1,,,22.69779736,,,355,73,20.6,,14.1,,,,Wild,,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama). Fallow deer limited to 1/3 of the area. Possible positive selection for fawns in summer",,,Feb 1999-Mar 2000,SYR,UA,DC + CNT,SSP,1,T,1,CAI04PRA,PRA,4,UK,UK,UK,POP
"Mouflon were present in ""an isolated herd of a few individuals"". ",Capitani 2004,Pratomagno,110,Mouflon,Ovis ammon musimon,Ovis aries musimon,3,,,0.02727272727,,,34.2,,,355,1,0.3,,0.2,,,,Wild,,,"Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra). Mouflon absent except for ""an isolated hear of a few individuals"".",,,Feb 1999-Mar 2000,SYR,UA,DC + CNT,SSP,1,T,1,CAI04PRA,PRA,4,UK,UK,UK,POP
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Cecina Valley,25,Wild boar,Sus scrofa,Sus scrofa,375,,,15,,,84.5,,,118,24,20.3,,15.9,,,,Wild,,,Possible positive selection for juveniles. ,,,Sept 2000-Aug 2001,SYR,UA,HH,SWI,1,T,1,CAI04CCV,CCV,4,UK,UK,UK,POP
Cervids = Roe deer (Capreolus capreolus) and fallow deer (Dama dama). ,Capitani 2004,Cecina Valley,25,Cervids,See notes,Capreolus capreolus + Dama dama,550,,,22,,,31.61818182,,,118,54,45.8,,40.5,,,,Wild,,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama)",,,Sept 2000-Aug 2001,SYR,UA,DC (roe deer) + CNT (fallow),SSP,1,T,1,CAI04CCV,CCV,4,UK,UK,UK,POP
,Capitani 2004,Cecina Valley,25,Mouflon,Ovis ammon musimon,Ovis aries musimon,100,,,4,,,34.2,,,118,41,34.7,,33,,,,Wild,,,Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra),,,Sept 2000-Aug 2001,SYR,UA,CNT,SSP,1,T,1,CAI04CCV,CCV,4,UK,UK,UK,POP
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Elk,Cervus elaphus,Cervus elaphus,688,,,2.372413793,,,240,,,61,53,86.8852459,,,,,1.1,Wild,,,,,1,1978-1979 Winters (Oct 1978- May 1979),SWI,A,AS + GS,SWI,1,PF,1,CAN83RDM-B,RDM-B,3,UK,UK,UK,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Moose,Alces alces,Alces alces,272,,,0.9379310345,,,481,,,61,6,9.836065574,,,,,0.13,Wild,,,,,1,1978-1979 Winters (Oct 1978- May 1979),SWI,A,AS,SWI,1,PF,1,CAN83RDM-B,RDM-B,3,UK,UK,UK,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,45,,,0.1551724138,,,75,,,61,0,0,,,,,0,Wild,,,,,1,1978-1979 Winters (Oct 1978- May 1979),SWI,A,GS,SWI,1,PF,1,CAN83RDM-B,RDM-B,3,UK,UK,UK,PT
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,455,,,0.3791666667,,,75,,,199,,,,23,,,,Wild,,,flee,,1,1997 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,115,,,0.09583333333,,,481,,,199,,,,15.3,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,1,1997 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1000,,,0.8333333333,,,613,,,199,,,,8,,,,Livestock,,,farmers reported seeing cattle chase away wolves,,1,1997 (Spring-Autumn),SNW,G,FARM,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,432,,,0.36,,,75,,,101,,,,49.1,,,,Wild,,,flee,,2,1998 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,107,,,0.08916666667,,,481,,,101,,,,14.5,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,2,1998 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1000,,,0.8333333333,,,613,,,101,,,,8.8,,,,Livestock,,,farmers reported seeing cattle chase away wolves,,2,1998 (Spring-Autumn),SNW,G,FARM,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,504,,,0.42,,,75,,,232,,,,48.7,,,,Wild,,,flee,,3,1999 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,65,,,0.05416666667,,,481,,,232,,,,12,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,3,1999 (Spring-Autumn),SNW,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1000,,,0.8333333333,,,613,,,232,,,,12.8,,,,Livestock,,,farmers reported seeing cattle chase away wolves,,3,1999 (Spring-Autumn),SNW,G,FARM,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,464,,,0.3866666667,,,75,,,532,,,,39.2,,,,Wild,,,flee,,,1997-1999 Spring-Autumn,MNW,P-3-3,AS,MWI,3,T,3,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,96,,,0.08,,,481,,,532,,,,13.6,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,1997-1999 Spring-Autumn,MNW,P-3-3,AS,MWI,3,T,3,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1000,,,0.8333333333,,,613,,,532,,,,10.3,,,,Wild,,,farmers reported seeing cattle chase away wolves,,,1997-1999 Spring-Autumn,MNW,P-3-3,FARM,MWI,3,T,3,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Bharal,Pseudois nayaur,Pseudois nayaur,29850,,,5.97,34,Calculated for by RB,51.8,202.98,0.07382621125,57,,,1.76,4.42,,0.0409,0,Wild,,,Cliff-dwelling. Herd,Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Himalayan tahr,Hemitragus jemlahicus,Hemitragus jemlahicus,4250,,,0.85,50,Calculated for by RB,67.90,42.50,0.01545774942,57,,,0,0,,0,0,Wild,,,Cliff-dwelling,Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan argali,Ovis ammon hodgsonii,Ovis ammon hodgsonii,1200,,,0.24,80,Calculated for by RB,113.00,19.20,0.006983265622,57,,,2.3,8.95,,0.1257,0,Wild,,,Plains-dwelling,Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan gazelle,Procapra picticaudata,Procapra picticaudata,450,,,0.09,20,Calculated for by RB,23.00,1.80,0.0006546811521,57,,,6.31,11.05,,0.0862,0,Wild,,,Plains-dwelling,Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Kiang,Equus kiang,Equus kiang,1250,,,0.25,100,Calculated for by RB,280.00,25.00,0.009092793779,57,,,2.56,10.84,,0.1748,0,Wild,,,Plains-dwelling,Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Goat,Capra hircus,Capra hircus,81950,,,16.39,25,Calculated for by RB,46.9,409.75,0.14903089,57,,,4.15,8.53,,0.071,0,Livestock,"semi-guarded, dispersed in pasture",,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Sheep,Ovis aries,Ovis aries,31800,,,6.36,30,Calculated for by RB,34.2,190.80,0.06939620212,57,,,0.53,1.23,,0.0109,0,Livestock,"semi-guarded, less dispersed in pasture",,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Horse,Equus ferus caballus,Equus caballus,6200,,,1.24,110,Calculated for by RB,400.00,136.40,0.04961028286,57,,,1.2,5.26,,0.0903,0,Livestock,unattended in pastures,,"Herd. Plains-dwelling. Left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Yak/Chauri,Bos spp,Bos grunniens,54600,,,10.92,150,Calculated for by RB,500,1638.00,0.5957598484,57,,,0.87,4.18,,0.0892,0,Livestock,"unattented, too large",,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively. Lulu cows are a ""dwarf"" breed and according to wikipedia they are one of the smallest breeds and weigh only 68-153kg.",Chetri 2017,Central Himalayas,5000,Lulu cow,Bos taurus sp,Bos taurus,4150,,,0.83,100,Calculated for by RB,613,83.00,0.03018807535,57,,,1.09,4.6,,0.0742,0,Livestock,,,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4,POP
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2100,,,17.497,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.47,178,,,,,,0.559,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,2000-2001,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4801,,,40.009,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.53,178,,,,,,0.421,,Wild,,,,,,2000-2001,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,987,,,8.223,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.3,242,,,,,,0.482,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,2001-2002,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4898,,,40.819,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.7,242,,,,,,0.476,,Wild,,,,,,2001-2002,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,1472,,,12.267,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.39,262,,,,,,0.685,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,2002-2003,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4828,,,40.233,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.61,262,,,,,,0.263,,Wild,,,,,,2002-2003,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,3114,,,25.949,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.53,293,,,,,,0.712,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,2003-2004,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,5724,,,47.7,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.47,293,,,,,,0.261,,Wild,,,,,,2003-2004,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,563,,,4.69,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.18,232,,,,,,0.488,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,2004-2005,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,5151,,,42.929,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.82,232,,,,,,0.482,,Wild,,,,,,2004-2005,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,964,,,8.035,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.32,143,,,,,,0.461,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,2005-2006,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4198,,,34.987,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.68,143,,,,,,0.399,,Wild,,,,,,2005-2006,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
